common_name	species_or_strain	type
Bacteroides fragilis phage	B. fragilis phage	virus
Bacteroides fragilis phage	B. fragilis phage	virus
Bacteroides fragilis phage	B. fragilis phage	virus
Bacteroides phage B40-8	B40-8	virus
Bacteroides phage B40-8	B40-8	virus
Clostridium perfringens spores	C. perfringens	bacterial spore
Clostridium perfringens spores	C. perfringens	bacterial spore
Clostridium perfringens spores	C. perfringens	bacterial spore
Clostridium perfringens spores	C. perfringens	bacterial spore
Clostridium perfringens	C. perfringens	bacteria
Enterovirus	Coxsackievirus B5	virus
Enterovirus	Coxsackievirus B5	virus
Enterovirus	Coxsackievirus B5	virus
E. coli	E. coli	bacteria
E. coli	E. coli	bacteria
E. coli	E. coli	bacteria
E. coli	E. coli	bacteria
E. coli	E. coli	bacteria
E. coli	E. coli	bacteria
E. coli	E. coli	bacteria
E. coli	E. coli	bacteria
Enterococcus / Fecal streptococcus	Enterococcus	bacteria
Enterococcus / Fecal streptococcus	Enterococcus	bacteria
Enterococcus / Fecal streptococcus	Enterococcus	bacteria
Enterococcus / Fecal streptococcus	Enterococcus	bacteria
Enterococcus / Fecal streptococcus	Enterococcus	bacteria
Enterococcus / Fecal streptococcus	Enterococcus	bacteria
Enterococcus / Fecal streptococcus	Enterococcus	bacteria
Enterococcus / Fecal streptococcus	Enterococcus	bacteria
Enterococcus / Fecal streptococcus	Enterococcus faecalis	bacteria
Enterococcus / Fecal streptococcus	Enterococcus faecalis	bacteria
Enterococcus / Fecal streptococcus	Enterococcus faecalis	bacteria
Enterococcus / Fecal streptococcus	Enterococcus faecalis	bacteria
Enterococcus / Fecal streptococcus	Enterococcus faecalis	bacteria
Enterococcus / Fecal streptococcus	Enterococcus faecalis	bacteria
Enterococcus / Fecal streptococcus	Enterococcus faecalis	bacteria
Enterococcus / Fecal streptococcus	Enterococcus faecalis	bacteria
Enterovirus	Enterovirus	virus
Enterovirus	Enterovirus	virus
Enterovirus	Enterovirus	virus
Enterovirus	Enterovirus AR51101	virus
Enterovirus	Enterovirus AR51101	virus
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Fecal (thermotolerant) coliform	Fecal coliform	bacteria
Enterococcus / Fecal streptococcus	Fecal streptococcus	bacteria
Enterococcus / Fecal streptococcus	Fecal streptococcus	bacteria
Enterococcus / Fecal streptococcus	Fecal streptococcus	bacteria
Enterococcus / Fecal streptococcus	Fecal streptococcus	bacteria
Enterococcus / Fecal streptococcus	Fecal streptococcus	bacteria
Calicivirus	Feline calicivirus	virus
F-specific RNA phages	FRNA phage	virus
